,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
82,21984,1610612747,LAL,Los Angeles Lakers,0028400206,1984-12-02,LAL vs. CHI,L,240,112,45,86,0.523,0,4,0.0,22,27,0.815,15,26,41,31,5,10,8,22,
83,21984,1610612747,LAL,Los Angeles Lakers,0028400194,1984-11-30,LAL vs. KCK,W,240,130,51,101,0.505,1,3,0.333,27,32,0.844,16,24,40,27,11,4,17,24,
84,21984,1610612747,LAL,Los Angeles Lakers,0028400182,1984-11-28,LAL @ UTH,W,240,114,43,96,0.448,2,4,0.5,26,31,0.839,16,41,57,27,9,7,22,26,
85,21984,1610612747,LAL,Los Angeles Lakers,0028400167,1984-11-25,LAL vs. SEA,L,240,94,34,79,0.43,0,4,0.0,26,33,0.788,18,27,45,21,6,6,21,25,
86,21984,1610612747,LAL,Los Angeles Lakers,0028400158,1984-11-24,LAL @ LAC,W,240,108,46,84,0.548,0,3,0.0,16,18,0.889,12,39,51,30,4,14,27,22,
87,21984,1610612747,LAL,Los Angeles Lakers,0028400145,1984-11-21,LAL @ PHX,W,240,102,43,92,0.467,1,4,0.25,15,22,0.682,19,35,54,21,9,3,19,19,
88,21984,1610612747,LAL,Los Angeles Lakers,0028400132,1984-11-20,LAL vs. PHX,W,240,130,59,87,0.678,0,2,0.0,12,17,0.706,13,34,47,36,12,3,22,24,
89,21984,1610612747,LAL,Los Angeles Lakers,0028400128,1984-11-18,LAL vs. MIL,W,240,96,40,90,0.444,2,6,0.333,14,16,0.875,12,33,45,27,8,4,18,17,
90,21984,1610612747,LAL,Los Angeles Lakers,0028400113,1984-11-16,LAL vs. KCK,W,240,128,53,81,0.654,0,1,0.0,22,30,0.733,8,33,41,37,8,5,22,19,
91,21984,1610612747,LAL,Los Angeles Lakers,0028400090,1984-11-11,LAL vs. NJN,W,240,121,51,86,0.593,1,1,1.0,18,20,0.9,10,27,37,36,7,5,17,20,
92,21984,1610612747,LAL,Los Angeles Lakers,0028400076,1984-11-09,LAL @ POR,W,240,130,48,81,0.593,0,1,0.0,34,36,0.944,8,27,35,31,4,2,19,23,
93,21984,1610612747,LAL,Los Angeles Lakers,0028400075,1984-11-08,LAL @ GOS,L,240,106,42,82,0.512,0,5,0.0,22,34,0.647,13,27,40,25,6,4,23,24,
94,21984,1610612747,LAL,Los Angeles Lakers,0028400058,1984-11-06,LAL vs. DEN,L,240,130,51,88,0.58,4,9,0.444,24,31,0.774,10,28,38,30,11,7,23,21,
95,21984,1610612747,LAL,Los Angeles Lakers,0028400054,1984-11-04,LAL vs. POR,W,241,124,53,83,0.639,1,1,1.0,17,21,0.81,13,36,49,30,12,6,32,31,
96,21984,1610612747,LAL,Los Angeles Lakers,0028400040,1984-11-02,LAL vs. SAN,W,240,119,53,86,0.616,1,3,0.333,12,14,0.857,9,33,42,30,4,11,24,23,
97,21984,1610612747,LAL,Los Angeles Lakers,0028400034,1984-11-01,LAL @ SEA,L,240,103,37,79,0.468,1,3,0.333,28,39,0.718,11,30,41,29,5,4,20,28,
98,21984,1610612747,LAL,Los Angeles Lakers,0028400020,1984-10-30,LAL vs. GOS,W,240,144,61,90,0.678,1,1,1.0,21,30,0.7,10,32,42,41,11,14,22,20,
99,21984,1610612747,LAL,Los Angeles Lakers,0028400017,1984-10-28,LAL @ DAL,L,240,96,38,79,0.481,1,6,0.167,19,30,0.633,12,26,38,21,8,5,19,31,
100,21984,1610612747,LAL,Los Angeles Lakers,0028400007,1984-10-27,LAL @ SAN,L,240,112,41,86,0.477,1,4,0.25,29,41,0.707,11,27,38,19,10,4,14,28,
101,41985,1610612747,LAL,Los Angeles Lakers,0048500315,1986-05-21,LAL vs. HOU,L,240,112,47,92,0.511,1,5,0.2,17,22,0.773,19,32,51,33,12,5,23,27,
102,41985,1610612747,LAL,Los Angeles Lakers,0048500314,1986-05-18,LAL @ HOU,L,240,95,40,86,0.465,1,8,0.125,14,17,0.824,9,29,38,27,3,2,16,29,
103,41985,1610612747,LAL,Los Angeles Lakers,0048500313,1986-05-16,LAL @ HOU,L,240,109,47,84,0.56,1,9,0.111,14,18,0.778,10,24,34,39,7,6,19,25,
104,41985,1610612747,LAL,Los Angeles Lakers,0048500322,1986-05-13,LAL vs. HOU,L,240,102,40,90,0.444,3,6,0.5,19,25,0.76,13,25,38,30,13,3,18,21,
105,41985,1610612747,LAL,Los Angeles Lakers,0048500321,1986-05-10,LAL vs. HOU,W,240,119,46,87,0.529,2,7,0.286,25,34,0.735,10,25,35,33,11,5,16,20,
106,41985,1610612747,LAL,Los Angeles Lakers,0048500226,1986-05-08,LAL @ DAL,W,240,120,48,94,0.511,4,7,0.571,20,25,0.8,10,32,42,32,9,5,12,26,
107,41985,1610612747,LAL,Los Angeles Lakers,0048500011,1986-05-06,LAL vs. DAL,W,240,116,48,97,0.495,3,6,0.5,17,21,0.81,16,27,43,34,4,3,12,24,
108,41985,1610612747,LAL,Los Angeles Lakers,0048500224,1986-05-04,LAL @ DAL,L,240,118,50,93,0.538,1,7,0.143,17,23,0.739,15,23,38,31,10,2,11,18,
109,41985,1610612747,LAL,Los Angeles Lakers,0048500223,1986-05-02,LAL @ DAL,L,240,108,47,87,0.54,1,5,0.2,13,19,0.684,9,33,42,26,5,2,11,26,
110,41985,1610612747,LAL,Los Angeles Lakers,0048500222,1986-04-30,LAL vs. DAL,W,240,117,44,85,0.518,3,4,0.75,26,38,0.684,14,29,43,29,7,8,13,25,
111,41985,1610612747,LAL,Los Angeles Lakers,0048500221,1986-04-27,LAL vs. DAL,W,240,130,52,85,0.612,2,5,0.4,24,26,0.923,7,33,40,32,7,4,16,29,
112,41985,1610612747,LAL,Los Angeles Lakers,0048500143,1986-04-23,LAL @ SAN,W,240,114,46,83,0.554,0,2,0.0,22,36,0.611,16,37,53,32,8,4,16,23,
113,41985,1610612747,LAL,Los Angeles Lakers,0048500142,1986-04-19,LAL vs. SAN,W,240,122,52,91,0.571,2,3,0.667,16,23,0.696,16,32,48,32,7,3,17,24,
114,41985,1610612747,LAL,Los Angeles Lakers,0048500104,1986-04-17,LAL vs. SAN,W,240,135,57,86,0.663,1,4,0.25,20,22,0.909,11,36,47,38,15,8,23,22,
115,21985,1610612747,LAL,Los Angeles Lakers,0028500937,1986-04-13,LAL vs. DAL,L,240,104,44,101,0.436,2,9,0.222,14,18,0.778,12,26,38,29,2,4,9,27,
116,21985,1610612747,LAL,Los Angeles Lakers,0028500931,1986-04-12,LAL @ SAC,W,240,105,46,90,0.511,0,4,0.0,13,18,0.722,16,35,51,24,11,10,29,29,
117,21985,1610612747,LAL,Los Angeles Lakers,0028500916,1986-04-10,LAL vs. HOU,W,240,117,48,89,0.539,2,4,0.5,19,21,0.905,19,24,43,30,8,6,15,20,
118,21985,1610612747,LAL,Los Angeles Lakers,0028500909,1986-04-08,LAL @ POR,W,240,120,43,76,0.566,1,3,0.333,33,39,0.846,8,24,32,28,6,7,19,25,
119,21985,1610612747,LAL,Los Angeles Lakers,0028500899,1986-04-06,LAL @ HOU,L,240,103,44,89,0.494,1,5,0.2,14,18,0.778,11,24,35,33,12,3,14,21,
120,21985,1610612747,LAL,Los Angeles Lakers,0028500879,1986-04-03,LAL vs. SAC,W,240,135,50,85,0.588,2,2,1.0,33,43,0.767,13,42,55,34,8,11,21,23,
121,21985,1610612747,LAL,Los Angeles Lakers,0028500869,1986-04-01,LAL vs. SEA,W,240,109,42,90,0.467,0,3,0.0,25,32,0.781,24,31,55,20,5,7,18,20,
122,21985,1610612747,LAL,Los Angeles Lakers,0028500860,1986-03-30,LAL vs. GOS,W,240,124,51,92,0.554,1,2,0.5,21,24,0.875,11,30,41,35,8,3,17,20,
123,21985,1610612747,LAL,Los Angeles Lakers,0028500851,1986-03-29,LAL @ SEA,L,240,87,35,80,0.438,0,3,0.0,17,18,0.944,6,23,29,17,10,2,19,28,
124,21985,1610612747,LAL,Los Angeles Lakers,0028500830,1986-03-25,LAL @ DEN,W,240,121,50,86,0.581,1,3,0.333,20,28,0.714,12,41,53,30,7,5,24,27,
125,21985,1610612747,LAL,Los Angeles Lakers,0028500823,1986-03-24,LAL vs. SAN,W,240,124,47,97,0.485,0,6,0.0,30,43,0.698,19,35,54,33,13,6,12,24,
126,21985,1610612747,LAL,Los Angeles Lakers,0028500812,1986-03-22,LAL @ SAC,W,240,115,48,86,0.558,3,4,0.75,16,19,0.842,10,27,37,29,7,3,14,29,
127,21985,1610612747,LAL,Los Angeles Lakers,0028500807,1986-03-21,LAL @ SAN,W,240,117,44,91,0.484,1,3,0.333,28,31,0.903,17,28,45,26,8,5,17,25,
128,21985,1610612747,LAL,Los Angeles Lakers,0028500794,1986-03-19,LAL @ LAC,L,240,114,49,96,0.51,3,7,0.429,13,17,0.765,12,23,35,34,11,5,14,27,
129,21985,1610612747,LAL,Los Angeles Lakers,0028500793,1986-03-18,LAL vs. POR,W,240,128,51,89,0.573,2,7,0.286,24,32,0.75,10,27,37,34,7,4,16,23,
130,21985,1610612747,LAL,Los Angeles Lakers,0028500778,1986-03-16,LAL vs. HOU,W,240,116,43,73,0.589,0,1,0.0,30,42,0.714,10,28,38,30,8,5,22,25,
131,21985,1610612747,LAL,Los Angeles Lakers,0028500757,1986-03-13,LAL vs. SEA,W,240,105,45,83,0.542,1,1,1.0,14,17,0.824,12,31,43,31,4,7,15,24,
132,21985,1610612747,LAL,Los Angeles Lakers,0028500743,1986-03-11,LAL vs. LAC,W,240,129,56,101,0.554,1,4,0.25,16,21,0.762,14,37,51,44,12,5,19,28,
133,21985,1610612747,LAL,Los Angeles Lakers,0028500733,1986-03-09,LAL @ SEA,W,240,108,45,73,0.616,0,0,,18,25,0.72,7,28,35,24,3,3,16,23,
134,21985,1610612747,LAL,Los Angeles Lakers,0028500730,1986-03-08,LAL vs. SAC,W,290,122,47,106,0.443,2,6,0.333,26,40,0.65,15,35,50,32,11,7,13,25,
135,21985,1610612747,LAL,Los Angeles Lakers,0028500713,1986-03-06,LAL @ GOS,W,240,112,47,88,0.534,1,5,0.2,17,25,0.68,10,35,45,28,11,2,19,29,
136,21985,1610612747,LAL,Los Angeles Lakers,0028500711,1986-03-05,LAL vs. UTH,W,240,130,52,83,0.627,5,7,0.714,21,30,0.7,7,35,42,35,19,8,17,22,
137,21985,1610612747,LAL,Los Angeles Lakers,0028500694,1986-03-03,LAL vs. GOS,W,240,127,53,95,0.558,4,8,0.5,17,20,0.85,20,24,44,36,9,5,13,27,
138,21985,1610612747,LAL,Los Angeles Lakers,0028500688,1986-03-01,LAL @ PHX,L,240,106,43,102,0.422,4,7,0.571,16,19,0.842,30,21,51,17,8,3,26,23,
139,21985,1610612747,LAL,Los Angeles Lakers,0028500680,1986-02-28,LAL vs. PHX,W,240,115,44,87,0.506,5,11,0.455,22,31,0.71,12,24,36,29,17,4,18,29,
140,21985,1610612747,LAL,Los Angeles Lakers,0028500668,1986-02-26,LAL @ DAL,W,240,119,51,78,0.654,1,4,0.25,16,21,0.762,7,29,36,28,6,1,19,21,
141,21985,1610612747,LAL,Los Angeles Lakers,0028500654,1986-02-24,LAL @ ATL,L,240,93,37,88,0.42,2,7,0.286,17,27,0.63,18,23,41,15,13,0,16,21,
142,21985,1610612747,LAL,Los Angeles Lakers,0028500648,1986-02-23,LAL @ PHL,W,265,117,46,88,0.523,3,6,0.5,22,26,0.846,12,29,41,29,11,11,18,25,
